Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,Open,High,Low,Close,Adj Close,Volume,Netto_Position_NonCom,Netto_Position_Com,Totall_diff,Median_Total_diff,Median_Total_diff_Change,Median_Close_Price,Median_Close_Trend,RSI,Median_RSI
EURO FX - CHICAGO MERCANTILE EXCHANGE,181009,2018-10-09,99741,CME ,0,99,483802,162315,178457,10592,228799,234237,401706,423286,82096,60516,483802,162315,178457,10592,228799,234237,401706,423286,82096,60516,0,0,0,0,0,0,0,0,0,0,4158.0,-2423.0,6618.0,-1870.0,4119.0,57.0,-174.0,4805.0,4332.0,-647.0,100,33.5,36.9,2.2,47.3,48.4,83.0,87.5,17.0,12.5,100,33.5,36.9,2.2,47.3,48.4,83.0,87.5,17.0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,96,79,38,81,78,189,184,293,96,79,38,81,78,189,184,0,0,0,0,0,0,0,0,20.7,25.4,30.1,39.6,19.4,24.9,28.4,39.1,20.7,25.4,30.1,39.6,19.4,24.9,28.4,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1494648456573486,1.150483250617981,1.1433275938034058,1.1494120359420776,1.1494120359420776,0.0,-16142,-5438,-10704,12023.5,-6402.0,1.160571575164795,0,38.24371075898006,28.332741068898493
EURO FX - CHICAGO MERCANTILE EXCHANGE,181016,2018-10-16,99741,CME ,0,99,469299,140817,170161,10614,239573,227660,391004,408435,78295,60864,469299,140817,170161,10614,239573,227660,391004,408435,78295,60864,0,0,0,0,0,0,0,0,0,0,-14503.0,-21498.0,-8296.0,22.0,10774.0,-6577.0,-10702.0,-14851.0,-3801.0,348.0,100,30.0,36.3,2.3,51.0,48.5,83.3,87.0,16.7,13.0,100,30.0,36.3,2.3,51.0,48.5,83.3,87.0,16.7,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,89,73,43,84,78,189,178,282,89,73,43,84,78,189,178,0,0,0,0,0,0,0,0,22.1,25.5,32.4,40.3,21.1,25.3,30.5,40.1,22.1,25.5,32.4,40.3,21.1,25.3,30.5,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1583324670791626,1.162006974220276,1.156711220741272,1.1583458185195925,1.1583458185195925,0.0,-29344,11913,-17431,7436.5,-4587.0,1.1589704155921936,0,28.861442745754772,31.73036220343016
EURO FX - CHICAGO MERCANTILE EXCHANGE,181023,2018-10-23,99741,CME ,0,99,489829,149585,179889,9648,251035,239190,410268,428727,79561,61102,489829,149585,179889,9648,251035,239190,410268,428727,79561,61102,0,0,0,0,0,0,0,0,0,0,20530.0,8768.0,9728.0,-966.0,11462.0,11530.0,19264.0,20292.0,1266.0,238.0,100,30.5,36.7,2.0,51.2,48.8,83.8,87.5,16.2,12.5,100,30.5,36.7,2.0,51.2,48.8,83.8,87.5,16.2,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,95,71,40,83,79,189,179,287,95,71,40,83,79,189,179,0,0,0,0,0,0,0,0,21.1,25.9,31.0,40.3,20.2,25.1,29.2,39.3,21.1,25.9,31.0,40.3,20.2,25.1,29.2,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.146473407745361,1.1489763259887695,1.1439945697784424,1.1467890739440918,1.1467890739440918,0.0,-30304,11845,-18459,4377.0,-3059.5,1.158050775527954,0,26.70164940748259,31.73036220343016
EURO FX - CHICAGO MERCANTILE EXCHANGE,181030,2018-10-30,99741,CME ,0,99,504458,157691,190353,9688,253543,238938,420922,438979,83536,65479,504458,157691,190353,9688,253543,238938,420922,438979,83536,65479,0,0,0,0,0,0,0,0,0,0,14629.0,8106.0,10464.0,40.0,2508.0,-252.0,10654.0,10252.0,3975.0,4377.0,100,31.3,37.7,1.9,50.3,47.4,83.4,87.0,16.6,13.0,100,31.3,37.7,1.9,50.3,47.4,83.4,87.0,16.6,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,88,83,39,81,78,182,187,287,88,83,39,81,78,182,187,0,0,0,0,0,0,0,0,20.1,26.3,30.6,38.9,19.2,25.8,28.3,38.2,20.1,26.3,30.6,38.9,19.2,25.8,28.3,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1375141143798828,1.1387057304382324,1.1347389221191406,1.137617588043213,1.137617588043213,0.0,-32662,14605,-18057,4377.0,0.0,1.1535838842391968,0,23.478708924752098,31.73036220343016
EURO FX - CHICAGO MERCANTILE EXCHANGE,181106,2018-11-06,99741,CME ,0,99,510193,148973,195816,10691,261621,240069,421285,446576,88908,63617,510193,148973,195816,10691,261621,240069,421285,446576,88908,63617,0,0,0,0,0,0,0,0,0,0,5735.0,-8718.0,5463.0,1003.0,8078.0,1131.0,363.0,7597.0,5372.0,-1862.0,100,29.2,38.4,2.1,51.3,47.1,82.6,87.5,17.4,12.5,100,29.2,38.4,2.1,51.3,47.1,82.6,87.5,17.4,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,83,74,40,78,80,172,183,273,83,74,40,78,80,172,183,0,0,0,0,0,0,0,0,20.2,28.4,30.9,42.0,19.3,27.1,28.9,40.4,20.2,28.4,30.9,42.0,19.3,27.1,28.9,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.140862226486206,1.1438113451004028,1.1393284797668457,1.141291856765747,1.141291856765747,0.0,-46843,21552,-25291,-4152.5,-8529.5,1.1481005549430847,0,18.417219043778516,27.78154607661868
EURO FX - CHICAGO MERCANTILE EXCHANGE,181113,2018-11-13,99741,CME ,0,99,520240,161860,198879,10473,268439,244051,440772,453403,79468,66837,520240,161860,198879,10473,268439,244051,440772,453403,79468,66837,0,0,0,0,0,0,0,0,0,0,10047.0,12887.0,3063.0,-218.0,6818.0,3982.0,19487.0,6827.0,-9440.0,3220.0,100,31.1,38.2,2.0,51.6,46.9,84.7,87.2,15.3,12.8,100,31.1,38.2,2.0,51.6,46.9,84.7,87.2,15.3,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,94,72,39,85,78,191,177,286,94,72,39,85,78,191,177,0,0,0,0,0,0,0,0,19.9,28.7,31.3,42.0,19.2,27.9,29.2,40.8,19.9,28.7,31.3,42.0,19.2,27.9,29.2,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1224100589752195,1.1291906833648682,1.122321844100952,1.123342990875244,1.123342990875244,0.0,-37019,24388,-12631,-11667.5,-7515.0,1.1440404653549194,0,16.70797512346809,25.090179166117345
EURO FX - CHICAGO MERCANTILE EXCHANGE,181120,2018-11-20,99741,CME ,0,99,535707,157633,204862,15741,275695,252104,449069,472707,86638,63000,535707,157633,204862,15741,275695,252104,449069,472707,86638,63000,0,0,0,0,0,0,0,0,0,0,15467.0,-4227.0,5983.0,5268.0,7256.0,8053.0,8297.0,19304.0,7170.0,-3837.0,100,29.4,38.2,2.9,51.5,47.1,83.8,88.2,16.2,11.8,100,29.4,38.2,2.9,51.5,47.1,83.8,88.2,16.2,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,92,74,40,84,79,191,178,286,92,74,40,84,79,191,178,0,0,0,0,0,0,0,0,18.7,30.1,29.6,42.5,17.9,27.1,27.4,38.8,18.7,30.1,29.6,42.5,17.9,27.1,27.4,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1454753875732422,1.1472758054733276,1.1387057304382324,1.1455016136169434,1.1455016136169434,0.0,-47229,23591,-23638,-15031.0,-3363.5,1.1433967351913452,0,16.43737628216664,20.947963984265307
EURO FX - CHICAGO MERCANTILE EXCHANGE,181127,2018-11-27,99741,CME ,0,99,538454,149719,204790,15042,281759,256916,446520,476748,91934,61706,538454,149719,204790,15042,281759,256916,446520,476748,91934,61706,0,0,0,0,0,0,0,0,0,0,2747.0,-7914.0,-72.0,-699.0,6064.0,4812.0,-2549.0,4041.0,5296.0,-1294.0,100,27.8,38.0,2.8,52.3,47.7,82.9,88.5,17.1,11.5,100,27.8,38.0,2.8,52.3,47.7,82.9,88.5,17.1,11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,86,72,35,85,77,183,172,277,86,72,35,85,77,183,172,0,0,0,0,0,0,0,0,18.9,30.8,31.0,42.9,17.9,26.7,27.2,38.2,18.9,30.8,31.0,42.9,17.9,26.7,27.2,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1334270238876345,1.1344943046569824,1.1279425621032717,1.1333370208740234,1.1333370208740234,0.0,-55071,24843,-30228,-17744.0,-2713.0,1.13945472240448,0,18.038182473451485,18.227700758615
EURO FX - CHICAGO MERCANTILE EXCHANGE,181204,2018-12-04,99741,CME ,0,99,545537,144859,205635,18758,289664,257730,453281,482123,92256,63414,545537,144859,205635,18758,289664,257730,453281,482123,92256,63414,0,0,0,0,0,0,0,0,0,0,7083.0,-4860.0,845.0,3716.0,7905.0,814.0,6761.0,5375.0,322.0,1708.0,100,26.6,37.7,3.4,53.1,47.2,83.1,88.4,16.9,11.6,100,26.6,37.7,3.4,53.1,47.2,83.1,88.4,16.9,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,89,72,39,82,78,182,178,278,89,72,39,82,78,182,178,0,0,0,0,0,0,0,0,18.5,29.2,30.6,41.7,17.7,25.4,26.6,37.4,18.5,29.2,30.6,41.7,17.7,25.4,26.6,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.135589361190796,1.14177405834198,1.134327054023743,1.135486125946045,1.135486125946045,0.0,-60776,31934,-28842,-18258.0,-514.0,1.136551856994629,0,16.927346348785818,17.48276441111865
EURO FX - CHICAGO MERCANTILE EXCHANGE,181211,2018-12-11,99741,CME ,0,99,613745,146082,202369,15874,341484,312735,503440,530978,110305,82767,613745,146082,202369,15874,341484,312735,503440,530978,110305,82767,0,0,0,0,0,0,0,0,0,0,68208.0,1223.0,-3266.0,-2884.0,51820.0,55005.0,50159.0,48855.0,18049.0,19353.0,100,23.8,33.0,2.6,55.6,51.0,82.0,86.5,18.0,13.5,100,23.8,33.0,2.6,55.6,51.0,82.0,86.5,18.0,13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,85,74,36,87,78,184,176,274,85,74,36,87,78,184,176,0,0,0,0,0,0,0,0,24.2,33.1,34.9,44.2,15.6,22.0,23.8,32.6,24.2,33.1,34.9,44.2,15.6,22.0,23.8,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.135499119758606,1.1399389505386353,1.1307612657546997,1.1356538534164429,1.1356538534164429,0.0,-56287,28749,-27538,-21048.5,-2790.5,1.135569989681244,0,18.061931707702897,17.48276441111865
EURO FX - CHICAGO MERCANTILE EXCHANGE,181218,2018-12-18,99741,CME ,0,99,505711,147654,200778,13570,262111,233982,423335,448330,82376,57381,505711,147654,200778,13570,262111,233982,423335,448330,82376,57381,0,0,0,0,0,0,0,0,0,0,-108034.0,1572.0,-1591.0,-2304.0,-79373.0,-78753.0,-80105.0,-82648.0,-27929.0,-25386.0,100,29.2,39.7,2.7,51.8,46.3,83.7,88.7,16.3,11.3,100,29.2,39.7,2.7,51.8,46.3,83.7,88.7,16.3,11.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,87,67,38,82,71,184,162,270,87,67,38,82,71,184,162,0,0,0,0,0,0,0,0,20.1,29.9,31.3,44.1,19.3,29.7,30.0,43.9,20.1,29.9,31.3,44.1,19.3,29.7,30.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.13499653339386,1.1403002738952637,1.133863925933838,1.1349835395812988,1.1349835395812988,0.0,-53124,28129,-24995,-24316.5,-3268.0,1.1352348327636719,0,18.38799129677689,17.48276441111865
EURO FX - CHICAGO MERCANTILE EXCHANGE,181224,2018-12-24,99741,CME ,0,99,508253,139059,197514,11791,267531,243588,418381,452893,89872,55360,508253,139059,197514,11791,267531,243588,418381,452893,89872,55360,0,0,0,0,0,0,0,0,0,0,2542.0,-8595.0,-3264.0,-1779.0,5420.0,9606.0,-4954.0,4563.0,7496.0,-2021.0,100,27.4,38.9,2.3,52.6,47.9,82.3,89.1,17.7,10.9,100,27.4,38.9,2.3,52.6,47.9,82.3,89.1,17.7,10.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,84,67,35,84,75,182,164,270,84,67,35,84,75,182,164,0,0,0,0,0,0,0,0,20.9,30.9,31.9,44.7,20.3,30.8,30.8,44.7,20.9,30.9,31.9,44.7,20.3,30.8,30.8,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.137203574180603,1.143837571144104,1.137203574180603,1.1372811794281006,1.1372811794281006,0.0,-58455,23943,-34512,-25143.0,-826.5,1.135569989681244,1,12.110246548020598,17.48276441111865
EURO FX - CHICAGO MERCANTILE EXCHANGE,181231,2018-12-31,99741,CME ,0,99,505986,148288,194936,13427,262426,244448,424141,452811,81845,53175,505986,148288,194936,13427,262426,244448,424141,452811,81845,53175,0,0,0,0,0,0,0,0,0,0,-2267.0,9229.0,-2578.0,1636.0,-5105.0,860.0,5760.0,-82.0,-8027.0,-2185.0,100,29.3,38.5,2.7,51.9,48.3,83.8,89.5,16.2,10.5,100,29.3,38.5,2.7,51.9,48.3,83.8,89.5,16.2,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,92,62,40,85,72,191,161,271,92,62,40,85,72,191,161,0,0,0,0,0,0,0,0,20.4,30.9,31.4,44.5,19.8,30.9,30.2,44.5,20.4,30.9,31.4,44.5,19.8,30.9,30.2,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1438899040222168,1.1465917825698853,1.14223051071167,1.1439945697784424,1.1439945697784424,0.0,-46648,17978,-28670,-26414.5,-1271.5,1.135569989681244,0,1.1426237469849525,17.48276441111865
EURO FX - CHICAGO MERCANTILE EXCHANGE,190108,2019-01-08,99741,CME ,0,99,514545,146271,186804,12391,269050,261525,427712,460720,86833,53825,514545,146271,186804,12391,269050,261525,427712,460720,86833,53825,0,0,0,0,0,0,0,0,0,0,8559.0,-2017.0,-8132.0,-1036.0,6624.0,17077.0,3571.0,7909.0,4988.0,650.0,100,28.4,36.3,2.4,52.3,50.8,83.1,89.5,16.9,10.5,100,28.4,36.3,2.4,52.3,50.8,83.1,89.5,16.9,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,84,70,37,88,74,185,169,273,84,70,37,88,74,185,169,0,0,0,0,0,0,0,0,20.1,31.8,31.2,45.2,19.5,31.6,30.1,45.1,20.1,31.8,31.2,45.2,19.5,31.6,30.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1479343175888062,1.1486331224441528,1.1424654722213743,1.1479737758636477,1.1479737758636477,0.0,-40533,7525,-33008,-28104.0,-1689.5,1.1364675164222717,1,4.077717377373702,14.518796448403208
EURO FX - CHICAGO MERCANTILE EXCHANGE,190115,2019-01-15,99741,CME ,0,99,525052,152534,185195,12020,274438,273918,438992,471133,86060,53919,525052,152534,185195,12020,274438,273918,438992,471133,86060,53919,0,0,0,0,0,0,0,0,0,0,10507.0,6263.0,-1609.0,-371.0,5388.0,12393.0,11280.0,10413.0,-773.0,94.0,100,29.1,35.3,2.3,52.3,52.2,83.6,89.7,16.4,10.3,100,29.1,35.3,2.3,52.3,52.2,83.6,89.7,16.4,10.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,87,67,36,94,76,195,165,278,87,67,36,94,76,195,165,0,0,0,0,0,0,0,0,19.8,31.2,30.4,45.2,19.2,30.7,29.3,44.5,19.8,31.2,30.4,45.2,19.2,30.7,29.3,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.147315263748169,1.1491611003875732,1.1386150121688845,1.1472889184951782,1.1472889184951782,0.0,-32661,520,-32141,-28756.0,-652.0,1.1406378746032715,1,17.576707101417796,14.843476824719197
EURO FX - CHICAGO MERCANTILE EXCHANGE,190122,2019-01-22,99741,CME ,0,99,527176,148652,189658,11417,276892,270757,436961,471832,90215,55344,527176,148652,189658,11417,276892,270757,436961,471832,90215,55344,0,0,0,0,0,0,0,0,0,0,2124.0,-3882.0,4463.0,-603.0,2454.0,-3161.0,-2031.0,699.0,4155.0,1425.0,100,28.2,36.0,2.2,52.5,51.4,82.9,89.5,17.1,10.5,100,28.2,36.0,2.2,52.5,51.4,82.9,89.5,17.1,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,82,68,35,93,76,188,166,273,82,68,35,93,76,188,166,0,0,0,0,0,0,0,0,20.5,31.2,31.0,45.5,19.8,30.6,29.9,44.8,20.5,31.2,31.0,45.5,19.8,30.6,29.9,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1369578838348389,1.1375269889831543,1.1336840391159058,1.136932134628296,1.136932134628296,0.0,-41006,6135,-34871,-29535.0,-779.0,1.1406378746032715,0,18.542542419686427,14.843476824719197
EURO FX - CHICAGO MERCANTILE EXCHANGE,190129,2019-01-29,99741,CME ,0,99,527521,146625,193099,12824,278577,263384,438026,469307,89495,58214,527521,146625,193099,12824,278577,263384,438026,469307,89495,58214,0,0,0,0,0,0,0,0,0,0,345.0,-2027.0,3441.0,1407.0,1685.0,-7373.0,1065.0,-2525.0,-720.0,2870.0,100,27.8,36.6,2.4,52.8,49.9,83.0,89.0,17.0,11.0,100,27.8,36.6,2.4,52.8,49.9,83.0,89.0,17.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,82,62,36,95,75,188,163,268,82,62,36,95,75,188,163,0,0,0,0,0,0,0,0,20.4,30.6,31.0,45.0,19.9,30.4,29.9,44.2,20.4,30.6,31.0,45.0,19.9,30.4,29.9,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1429747343063354,1.145055651664734,1.1411746740341189,1.143000841140747,1.143000841140747,0.0,-46474,15193,-31281,-30754.5,-1219.5,1.1434977054595947,1,26.586832778434115,14.843476824719197
EURO FX - CHICAGO MERCANTILE EXCHANGE,190205,2019-02-05,99741,CME ,0,99,523868,145480,197444,8796,280451,261152,434727,467392,89141,56476,523868,145480,197444,8796,280451,261152,434727,467392,89141,56476,0,0,0,0,0,0,0,0,0,0,-3653.0,-1145.0,4345.0,-4028.0,1874.0,-2232.0,-3299.0,-1915.0,-354.0,-1738.0,100,27.8,37.7,1.7,53.5,49.9,83.0,89.2,17.0,10.8,100,27.8,37.7,1.7,53.5,49.9,83.0,89.2,17.0,10.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,81,62,32,95,78,184,165,268,81,62,32,95,78,184,165,0,0,0,0,0,0,0,0,20.3,31.5,31.6,45.9,19.7,31.4,30.3,45.2,20.3,31.5,31.6,45.9,19.7,31.4,30.3,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.14357590675354,1.1442956924438477,1.140328884124756,1.1436283588409424,1.1436283588409424,0.0,-51964,19299,-32665,-31711.0,-956.5,1.1438114643096924,1,31.85297672544705,18.05962476055211
EURO FX - CHICAGO MERCANTILE EXCHANGE,190212,2019-02-12,99741,CME ,0,99,538627,157170,221070,8323,283224,245708,448717,475101,89910,63526,538627,157170,221070,8323,283224,245708,448717,475101,89910,63526,0,0,0,0,0,0,0,0,0,0,14759.0,11690.0,23626.0,-473.0,2773.0,-15444.0,13990.0,7709.0,769.0,7050.0,100,29.2,41.0,1.5,52.6,45.6,83.3,88.2,16.7,11.8,100,29.2,41.0,1.5,52.6,45.6,83.3,88.2,16.7,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,90,62,34,94,75,192,164,277,90,62,34,94,75,192,164,0,0,0,0,0,0,0,0,18.9,28.3,29.2,42.4,18.3,28.2,28.1,41.9,18.9,28.3,29.2,42.4,18.3,28.2,28.1,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.128031611442566,1.1319899559020996,1.125885248184204,1.1279042959213257,1.1279042959213257,0.0,-63900,37516,-26384,-31711.0,0.0,1.1433145999908447,0,39.092694774763025,22.56468759906027
EURO FX - CHICAGO MERCANTILE EXCHANGE,190219,2019-02-19,99741,CME ,0,99,537396,145762,220696,10215,289392,244078,445369,474989,92027,62407,537396,145762,220696,10215,289392,244078,445369,474989,92027,62407,0,0,0,0,0,0,0,0,0,0,-1231.0,-11408.0,-374.0,1892.0,6168.0,-1630.0,-3348.0,-112.0,2117.0,-1119.0,100,27.1,41.1,1.9,53.9,45.4,82.9,88.4,17.1,11.6,100,27.1,41.1,1.9,53.9,45.4,82.9,88.4,17.1,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,84,65,35,89,77,183,168,273,84,65,35,89,77,183,168,0,0,0,0,0,0,0,0,18.6,28.4,29.0,42.7,18.0,28.3,27.9,42.1,18.6,28.4,29.0,42.7,18.0,28.3,27.9,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.131208896636963,1.1341854333877563,1.1277008056640625,1.131196141242981,1.131196141242981,0.0,-74934,45314,-29620,-31711.0,0.0,1.1399664878845215,0,40.40389291671113,29.219904751940582
EURO FX - CHICAGO MERCANTILE EXCHANGE,190226,2019-02-26,99741,CME ,0,99,528376,143847,216302,11062,282780,238939,437689,466303,90687,62073,528376,143847,216302,11062,282780,238939,437689,466303,90687,62073,0,0,0,0,0,0,0,0,0,0,-9020.0,-1915.0,-4394.0,847.0,-6612.0,-5139.0,-7680.0,-8686.0,-1340.0,-334.0,100,27.2,40.9,2.1,53.5,45.2,82.8,88.3,17.2,11.7,100,27.2,40.9,2.1,53.5,45.2,82.8,88.3,17.2,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,87,65,39,89,75,184,172,276,87,65,39,89,75,184,172,0,0,0,0,0,0,0,0,17.8,29.1,28.1,43.3,17.2,29.1,26.9,42.8,17.8,29.1,28.1,43.3,17.2,29.1,26.9,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1366219520568848,1.1378635168075562,1.1346487998962402,1.1367511749267578,1.1367511749267578,0.0,-72455,43841,-28614,-31711.0,0.0,1.1368416547775269,0,36.175583266291234,34.014279995869146
